response_id,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom_tf,rsrch_or_ind,PSTAT100,PSTAT115,PSTAT120,PSTAT122,PSTAT126,PSTAT131,PSTAT160,PSTAT174,CS9,CS16,LING104,LING110,LING111,CS130,CS165,ECON145,PSTAT127,PSTAT134,CS5,rsrch,type,lang,area,Biology,Chemistry,Ecology,Economics / Accounting,Entertainment,Environmental science,Music & Audio,Neuroscience,Psychology,Public health,Social or political science,Software development,Technology,media/musical technology
1,adv,5,int,4,adv,5,9+,Yes,No preference,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,True,both,R,"Deep learning and neural networks;Spatial statistics or time series analysis;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally",True,False,False,False,False,True,False,False,False,True,False,False,False,False
2,adv,5,int,4,adv,4,6-8,No,I'm more interested in an industry project,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Databases",True,False,True,False,False,False,False,True,False,True,False,True,True,False
3,adv,4,int,4,adv,4,9+,No,I'm more interested in an industry project,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally",False,False,False,False,False,False,False,False,False,False,True,True,True,False
4,adv,4,int,3,adv,4,9+,No,I'm more interested in an industry project,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,False,ind,Python,"Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally",False,False,False,False,False,False,False,False,False,False,False,True,True,False
6,int,3,int,3,int,3,6-8,Yes,I'm more interested in an industry project,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,True,False,False,True,True,True,False
7,int,3,adv,5,adv,5,6-8,Yes,I'm more interested in an industry project,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally",False,False,False,False,False,True,False,True,False,True,False,True,True,False
8,int,3,int,3,int,3,6-8,No,I'm more interested in an industry project,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,True,ind,Python,Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards,False,False,False,False,False,False,False,False,False,False,False,True,True,True
9,int,4,adv,4,adv,5,3-5,No,I'm more interested in an industry project,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Algorithms",True,False,False,False,False,False,False,True,False,True,False,True,True,False
10,int,4,int,4,adv,4,9+,No,No preference,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,False,both,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,False,False,False,True,True,True,False
11,int,4,int,4,beg,3,0-2,Yes,No preference,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,both,No preference,Analysis or classification of images;Deep learning and neural networks;Data visualization and interactive dashboards,False,False,False,False,False,True,False,False,False,False,True,False,True,False
12,adv,5,adv,5,adv,5,9+,Unsure,No preference,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,True,both,R,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Predictive modeling, generally;Statistical models and inference, generally",True,False,False,False,False,False,False,True,False,True,False,False,False,False
13,int,4,int,3,adv,4,9+,Unsure,No preference,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,True,both,R,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",True,False,True,False,False,True,False,True,False,True,True,True,True,False
16,int,4,int,3,int,3,6-8,No,I'm more interested in a research lab project,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,True,lab,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,True,False,True,False,True,False,True,False,False
17,int,3,adv,5,adv,5,9+,No,No preference,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,True,both,R,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Algorithms",True,False,False,False,False,True,False,False,False,False,True,False,True,False
18,int,3,int,4,int,4,3-5,Yes,I'm more interested in an industry project,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,True,ind,Python,"Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Statistical models and inference, generally",False,False,False,False,False,False,False,True,False,False,False,True,True,False
19,int,4,int,5,adv,4,9+,No,I'm more interested in a research lab project,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,True,lab,No preference,Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Model deployment and software or web integrations,False,False,False,False,False,False,False,True,False,True,False,True,True,False
21,int,4,int,3,adv,5,6-8,No,I'm more interested in an industry project,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,True,ind,Python,"Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally",False,False,False,False,False,False,False,False,False,False,False,True,True,False
22,adv,5,adv,5,adv,5,9+,Yes,I'm more interested in an industry project,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,False,False,True,True,True,True,False
23,int,4,int,3,int,3,9+,Yes,I'm more interested in an industry project,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Databases",False,False,False,False,False,True,False,False,False,False,False,True,True,False
24,int,5,adv,5,int,5,9+,Yes,I'm more interested in an industry project,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Databases;Algorithms",False,False,False,False,False,False,False,False,False,False,False,True,True,False
25,adv,3,adv,5,adv,5,9+,Unsure,I am not sure quite yet but leaning towards industry at the moment,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,False,ind,R,"Spatial statistics or time series analysis;Data acquisition and engineering;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,False,False,False,False,True,True,False
27,adv,3,adv,3,adv,4,9+,No,I'm more interested in an industry project,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,ind,Python,Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Algorithms,False,False,False,False,False,False,False,True,False,False,False,True,True,False
28,beg,3,beg,4,beg,3,6-8,No,I'm more interested in an industry project,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,ind,R,"Analysis or classification of images;Data acquisition and engineering;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Algorithms",False,False,False,False,False,True,False,False,False,True,True,True,True,False
29,adv,4,adv,5,adv,5,9+,Yes,No preference; I'd like to work on whichever project offers rigor and high impact/tangible outcomes,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,True,both,"Python; but Iâ€™m comfortable in R, SQL, and other tools as needed. Stronger preference for Python over R.","Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Backend",False,False,False,False,False,False,False,False,False,False,False,True,True,False
30,adv,5,adv,5,adv,4,9+,Unsure,I'm more interested in an industry project,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,ind,Python,"Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Algorithms",False,False,False,False,False,False,False,False,False,False,False,True,True,False
31,int,3,int,4,int,4,6-8,Yes,I'm more interested in an industry project,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,ind,No preference,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,True,False,True,False,True,True,True,True,False
32,int,4,beg,4,int,4,6-8,No,I'm more interested in an industry project,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Databases",True,False,False,False,False,False,False,False,False,True,False,True,True,False
33,int,3,adv,4,adv,4,9+,Yes,No preference,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,both,R,"Analysis or classification of images;Deep learning and neural networks;Statistical models and inference, generally",False,True,False,False,False,False,False,False,False,False,False,False,True,False
34,int,4,adv,5,adv,5,9+,No,I'm more interested in an industry project,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,ind,No preference,"Spatial statistics or time series analysis;Natural language processing and analysis of text;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,True,False,False,False,True,True,True,True,False
35,int,4,adv,3,adv,4,9+,Yes,I'm more interested in an industry project,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",True,False,False,False,False,False,False,True,False,True,False,False,False,False
36,int,2,int,4,int,3,9+,Yes,I'm more interested in an industry project,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally",False,False,False,False,True,True,False,True,False,True,True,True,True,False
37,int,3,adv,5,int,4,9+,No,No preference,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,both,No preference,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases",False,False,False,False,False,True,False,False,False,True,True,False,True,False
38,int,4,int,4,int,5,3-5,No,I'm more interested in an industry project,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,False,ind,R,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Databases;Algorithms",True,False,False,False,False,True,False,True,False,False,False,True,True,False
39,adv,4,int,4,adv,5,6-8,Yes,I'm more interested in an industry project,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases",False,False,False,False,False,False,False,False,False,True,False,True,True,False
40,int,4,int,4,beg,2,0-2,No,No preference,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,both,No preference,Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Databases;Algorithms,True,False,False,False,False,False,False,True,True,False,False,True,True,False
41,int,4,beg,3,int,3,3-5,Yes,I'm more interested in an industry project,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",True,False,False,False,False,False,False,True,False,False,False,True,True,False
42,int,4,adv,4,adv,4,6-8,Yes,No preference,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,True,both,Python,"Analysis or classification of images;Deep learning and neural networks;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally",True,False,True,False,False,True,False,True,False,True,True,True,True,False
43,int,3,adv,4,adv,4,9+,Unsure,No preference,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,False,both,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Databases;Algorithms",False,False,False,False,False,False,False,True,False,False,False,True,True,False
44,adv,4,adv,5,adv,5,6-8,Yes,I'm more interested in an industry project,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,True,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Predictive modeling, generally;Statistical models and inference, generally;Algorithms",False,False,False,False,False,False,False,False,False,False,True,True,True,False
45,adv,4,int,3,int,3,6-8,No,I'm more interested in an industry project,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,True,False,False,True,False,False,False,False,False,True,True,False
46,adv,4,adv,3,adv,3,3-5,Unsure,I'm more interested in an industry project,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,True,ind,Python,Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Databases;Algorithms,False,False,False,False,False,False,False,False,False,True,True,True,True,False
47,adv,5,int,5,adv,5,9+,No,I'm more interested in an industry project,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",True,False,False,False,False,False,False,True,False,True,False,True,True,False
48,adv,3,adv,4,adv,4,9+,No,I'm more interested in an industry project,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,False,ind,Python,"Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Predictive modeling, generally;Algorithms",False,False,False,False,False,True,False,False,False,True,False,True,True,False
49,int,5,int,4,int,3,9+,Yes,No preference,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,both,R,Analysis or classification of images;Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Model deployment and software or web integrations;Data visualization and interactive dashboards;Databases,False,False,False,False,False,False,False,False,False,False,True,True,True,False
50,int,4,adv,5,adv,4,3-5,Yes,I'm more interested in an industry project,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,ind,No preference,"Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Predictive modeling, generally",False,False,False,True,False,False,False,False,False,False,False,False,True,False
51,int,3,adv,3,adv,3,3-5,Yes,I'm more interested in an industry project,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Natural language processing and analysis of text;Predictive modeling, generally;Statistical models and inference, generally;Databases;Algorithms",False,False,False,False,False,False,False,True,False,False,False,True,True,False
55,int,4,adv,5,adv,5,9+,No,I'm more interested in an industry project,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,True,ind,Python,"Deep learning and neural networks;Spatial statistics or time series analysis;Natural language processing and analysis of text;Predictive modeling, generally;Algorithms",False,False,False,False,False,False,True,True,False,True,False,True,True,False
56,int,3,int,3,int,4,3-5,Yes,I'm more interested in an industry project,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,ind,Python,"Deep learning and neural networks;Spatial statistics or time series analysis;Data acquisition and engineering;Predictive modeling, generally;Databases",False,False,False,False,False,True,False,False,False,True,False,False,False,False
59,adv,5,int,4,adv,4,9+,Unsure,I'm more interested in a research lab project,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,False,lab,Python,"Deep learning and neural networks;Natural language processing and analysis of text;Predictive modeling, generally",False,False,False,False,False,False,False,False,False,False,False,True,True,False
